X1.Mo,X3.Mo,X6.Mo,X1.Yr,X2.Yr,X3.Yr,X5.Yr,X7.Yr,X10.Yr,X20.Yr,X30.Yr
0.00024158891441021076,0.0007311929099823107,6.0067267999822915e-05,7.96977685189077e-05,0.00036633451000857883,0.000606030735150452,0.0038463884550328986,0.005993579557924288,0.010867996816625326,0.015240072920327424,0.0192977592456641
0.0006524515330712798,0.0007311929065748003,5.061116165892534e-06,0.0015153394145494047,0.0015319291985579785,0.0011983845729041831,0.005186773649811398,0.005993579581425795,0.013052990547767769,0.015240072942996619,0.02217608677366438
0.00024158891628620462,0.0002903813288234162,6.0067266960052926e-05,0.00035824498476071185,0.0015319291985580294,0.0006060307405600352,0.005186773649811494,0.004545215337273255,0.010867996845564918,0.010702045329789685,0.0141411042675152
3.07262995011016e-05,0.0002903813288234162,5.061116165895156e-06,7.969776986634117e-05,0.0015319291985580294,0.00021367690821584158,0.006727158827437457,0.011538672313883773,0.018022977952173776,0.02354711436280716,0.025254414275714107
0.00024158891628620462,0.0013720044843261222,6.0067266960052926e-05,0.00035824498476071185,0.0015319291985580294,0.0011983845729042293,0.012548314360315371,0.024780493534646945,0.037732940165391464,0.03742316958922106,0.03956772428391293
0.0006524515330713082,0.0002903813288234162,6.0067266960052926e-05,7.969776986634117e-05,0.0024147265410568485,0.007160153734625196,0.029590625426071188,0.05171904324371535,0.08079788348521799,0.08611330765525602,0.08935099930441019
0.00024158891628620462,0.0013720044843261222,5.061116165895156e-06,7.969776986634117e-05,0.004780321226054483,0.005567799902281001,0.02016946989319327,0.03512558626710485,0.05487291497420328,0.04993021100903154,0.052402706790062106
3.07262995011016e-05,0.002212816062077475,0.001425085719342526,0.00012260334007760021,0.0015319291985580294,0.0029830922375926154,0.014888699537941343,0.02802885777879958,0.03394794646318851,0.020578100556203665,0.016619431769564926
3.07262995011016e-05,0.002212816062077475,0.0007700795685483687,1.150554971970801e-06,0.0015319291985580294,0.0006060307405600352,0.008467544005063428,0.021732129290494312,0.026977959058782603,0.02354711436280716,0.02217608677366438
0.00024158891628620462,0.002212816062077475,0.0003150734177542105,0.00012260334007760021,0.0003663345135603938,0.0011983845729042293,0.017429084715567315,0.03897395051125749,0.0698278960808121,0.07477528004204902,0.06703768929621129
1.9863682715998382e-05,0.0013720044843261222,0.001425085719342526,0.00012260334007760021,8.353717106157545e-05,2.1323075871648545e-05,0.010407929182689398,0.024780493534646945,0.050287921272000324,0.04556119720242805,0.03956772428391293
3.07262995011016e-05,0.0013720044843261222,0.0007700795685483687,0.00044405612518323,8.353717106157545e-05,0.00021367690821584158,0.014888699537941343,0.03512558626710485,0.07521288978301505,0.06940626623544552,0.06195936179416156
0.00024158891628620462,0.0002903813288234162,6.0067266960052926e-05,1.150554971970801e-06,8.353717106157545e-05,2.1323075871648545e-05,0.012548314360315371,0.031477222022952216,0.0698278960808121,0.05926823862223853,0.05708103429211184
0.00024158891628620462,0.0013720044843261222,0.0007700795685483687,0.00012260334007760021,0.0001179424860639395,2.896924352745505e-05,0.008467544005063428,0.02802885777879958,0.06464290237860919,0.05926823862223853,0.052402706790062106
0.00024158891628620462,0.002212816062077475,0.0003150734177542105,0.00012260334007760021,0.0003663345135603938,0.0029830922375926154,0.05383293649182701,0.1349961426618522,0.22491276382707398,0.2147865423675153,0.20152591183515597
3.07262995011016e-05,0.0013720044843261222,0.0003150734177542105,0.00012260334007760021,8.353717106157545e-05,0.0011983845729042293,0.03687139578132313,0.09450595719693645,0.18857278901826235,0.1966485147543083,0.17549092932900695
